threshold,accuracy,f1,auc,tn,fp,fn,tp,num_members,num_nonmembers,member_scores,nonmember_scores,y_true,y_pred,network,dataset,enable_privacy,epsilon,clipping_strategy,enable_morphology,morph_operation,morph_kernel_size,batchsize,run,seed,threshold_source
0.9857819676399231,0.5,0.4,0.5538194444444445,16,8,16,8,24,24,"[[0.8719944953918457, 1.0146002769470215, 0.797071099281311, 0.9848505258560181, 0.8418428897857666, 0.9883394241333008, 0.8660861253738403, 1.0660735368728638, 1.241967797279358, 1.0906593799591064, 0.8150638341903687, 1.0256035327911377, 0.8055647611618042, 1.0478731393814087, 1.0576351881027222, 1.0684032440185547, 1.0572201013565063, 1.0784573554992676, 1.2155958414077759, 1.01893150806427, 1.0070509910583496, 1.254419207572937, 0.9447113871574402, 1.0110697746276855]]","[[1.0514867305755615, 1.1679295301437378, 1.072620153427124, 1.124893069267273, 0.912708044052124, 1.0872232913970947, 0.951035737991333, 1.2648085355758667, 1.0189920663833618, 1.0530792474746704, 1.209682822227478, 0.9012938737869263, 0.927397608757019, 1.0650346279144287, 0.9786677360534668, 0.9859658479690552, 1.1133182048797607, 1.1627644300460815, 0.9888999462127686, 1.1728414297103882, 0.7706554532051086, 0.8875981569290161, 1.0057673454284668, 0.9293568134307861]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]]",UNet,LungInfection,False,,none,False,none,,24,1,0,calibration_split
4.921848297119141,0.6041666666666666,0.6545454545454545,0.6145833333333333,11,13,6,18,24,24,"[[4.234932899475098, 5.013426780700684, 4.356407165527344, 4.375970363616943, 4.690608501434326, 4.222385883331299, 4.772807598114014, 4.542787075042725, 4.92048454284668, 4.768805503845215, 4.196445465087891, 4.5013933181762695, 4.4185943603515625, 5.206192970275879, 4.993487358093262, 4.935019493103027, 4.576169490814209, 4.657410144805908, 4.778935432434082, 4.697051048278809, 5.187353134155273, 4.938145160675049, 4.629894733428955, 4.8466033935546875]]","[[5.006132125854492, 5.134949684143066, 4.859536170959473, 4.963307857513428, 5.035478115081787, 5.262632369995117, 4.709375381469727, 4.978500843048096, 4.447455406188965, 5.666933059692383, 4.982418060302734, 4.760721683502197, 5.060422897338867, 4.668426513671875, 4.65922737121582, 4.111241340637207, 4.579431533813477, 5.07008695602417, 4.3970866203308105, 5.223531723022461, 4.287237644195557, 4.743640899658203, 4.354675769805908, 4.6146063804626465]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,automatic,True,both,3,24,1,0,calibration_split
4.859074592590332,0.5833333333333334,0.6428571428571429,0.5555555555555556,10,14,6,18,24,24,"[[4.293234825134277, 4.863085746765137, 4.223662376403809, 4.321890830993652, 4.644685745239258, 4.268320083618164, 4.778174877166748, 4.635373115539551, 4.848276615142822, 4.7367472648620605, 4.0717949867248535, 4.553707122802734, 4.108673095703125, 5.309001922607422, 4.934453964233398, 5.357199668884277, 4.426614284515381, 4.761870384216309, 4.676255702972412, 4.619137287139893, 5.442972660064697, 4.96762228012085, 4.558396339416504, 4.70066499710083]]","[[4.950949192047119, 4.969433307647705, 4.906199932098389, 4.772222518920898, 4.8717498779296875, 5.164585113525391, 4.7927350997924805, 4.983295440673828, 4.21058464050293, 5.829310417175293, 4.793137550354004, 4.5331268310546875, 5.212667465209961, 4.5377678871154785, 4.511293411254883, 4.096640110015869, 4.4872517585754395, 4.937826156616211, 4.286056041717529, 4.914514541625977, 4.056964874267578, 4.657689571380615, 4.320074081420898, 4.694333076477051]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,base,True,both,3,24,1,0,calibration_split
4.839382171630859,0.5416666666666666,0.5,0.5763888888888888,15,9,13,11,24,24,"[[4.419187545776367, 4.999995231628418, 4.5120439529418945, 4.487518787384033, 4.723726272583008, 4.548120975494385, 4.826769828796387, 4.58577299118042, 4.983567714691162, 5.088873863220215, 4.389320373535156, 4.824742317199707, 4.593686103820801, 5.187914848327637, 4.96456241607666, 5.169445991516113, 4.892120361328125, 5.007267475128174, 4.890474319458008, 4.933316230773926, 4.97373104095459, 5.21462869644165, 4.742259979248047, 4.960624694824219]]","[[4.985262870788574, 5.349007606506348, 4.9303998947143555, 4.911281585693359, 4.858221054077148, 5.18715763092041, 5.064416885375977, 5.158504962921143, 4.5968427658081055, 5.471529960632324, 5.0954813957214355, 4.752702236175537, 4.938500881195068, 5.22511625289917, 4.940770626068115, 4.365377902984619, 4.611536979675293, 5.195411682128906, 4.701452732086182, 5.081380844116211, 4.4291181564331055, 4.696914196014404, 4.433908462524414, 4.745981693267822]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,base,True,both,3,24,2,0,calibration_split
5.013554573059082,0.4791666666666667,0.6031746031746031,0.5868055555555556,4,20,5,19,24,24,"[[4.417459964752197, 4.87614631652832, 4.35251522064209, 4.370589256286621, 4.655097961425781, 4.049380302429199, 4.539604187011719, 4.6208906173706055, 4.939502716064453, 4.698700428009033, 4.168018341064453, 4.49418830871582, 4.300910472869873, 5.390754222869873, 5.204278469085693, 5.2729082107543945, 4.5542192459106445, 4.777381896972656, 4.652807235717773, 4.60272216796875, 5.185982704162598, 5.019474983215332, 4.458221912384033, 4.784383296966553]]","[[4.915547847747803, 5.049129486083984, 4.8439531326293945, 4.764654636383057, 4.856163501739502, 5.180811405181885, 4.726649761199951, 4.877886772155762, 4.346047401428223, 5.772968292236328, 4.903953552246094, 4.690831184387207, 5.205759048461914, 4.758837699890137, 4.661089897155762, 4.0992937088012695, 4.60048770904541, 4.860782623291016, 4.388250350952148, 4.8854079246521, 4.206274032592773, 4.708634376525879, 4.588906288146973, 4.559171676635742]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,automatic,True,both,3,24,2,0,calibration_split
4.9220452308654785,0.6041666666666666,0.6545454545454545,0.6145833333333333,11,13,6,18,24,24,"[[4.234776496887207, 5.013758182525635, 4.355920314788818, 4.3766093254089355, 4.690281867980957, 4.2224321365356445, 4.772308349609375, 4.542662620544434, 4.920641899108887, 4.7688093185424805, 4.196319103240967, 4.501330375671387, 4.419703960418701, 5.2061028480529785, 4.993281841278076, 4.935070037841797, 4.57653284072876, 4.657075881958008, 4.779027462005615, 4.6968255043029785, 5.187633991241455, 4.9383978843688965, 4.630146503448486, 4.846822738647461]]","[[5.006124019622803, 5.135020732879639, 4.859597206115723, 4.963561534881592, 5.03594970703125, 5.2625627517700195, 4.709024429321289, 4.9786176681518555, 4.44840145111084, 5.667238235473633, 4.982416152954102, 4.760393142700195, 5.0600905418396, 4.66906213760376, 4.6593708992004395, 4.111225605010986, 4.579604148864746, 5.070098876953125, 4.397323131561279, 5.223300933837891, 4.2869462966918945, 4.743803024291992, 4.354559898376465, 4.614807605743408]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,automatic,True,both,3,24,1,0,calibration_split
5.1553635597229,0.4791666666666667,0.6031746031746031,0.5364583333333333,4,20,5,19,24,24,"[[4.481940269470215, 5.041510581970215, 4.64134407043457, 4.682888984680176, 4.828480243682861, 4.532172679901123, 4.840034484863281, 4.653989791870117, 5.145162582397461, 5.084724426269531, 4.2755351066589355, 4.723910808563232, 4.430259704589844, 5.260700225830078, 5.161677837371826, 5.183565616607666, 4.75518274307251, 5.045291900634766, 4.8856000900268555, 4.842967987060547, 5.216070652008057, 5.24433708190918, 4.810715675354004, 4.956360816955566]]","[[4.948551654815674, 5.325353145599365, 5.100726127624512, 4.9734697341918945, 4.799618721008301, 5.228824615478516, 4.925293922424316, 5.081228256225586, 4.624406337738037, 5.665698051452637, 5.098581790924072, 4.800029754638672, 5.205502033233643, 5.088413238525391, 4.773271083831787, 4.35688591003418, 4.935654640197754, 5.048851490020752, 4.570134162902832, 4.880526542663574, 4.283420562744141, 4.84987735748291, 4.6339592933654785, 4.67602014541626]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,nsgd,True,both,3,24,1,0,calibration_split
4.80098819732666,0.5625,0.5116279069767442,0.5833333333333334,16,8,13,11,24,24,"[[4.405694484710693, 4.873979568481445, 4.522299289703369, 4.50662899017334, 4.8482666015625, 4.419609069824219, 5.092428207397461, 4.773619651794434, 4.929289817810059, 4.954180717468262, 4.333464622497559, 4.623502254486084, 4.340518951416016, 5.425541877746582, 5.111279487609863, 5.322576522827148, 4.68666934967041, 5.0589399337768555, 4.827521324157715, 4.767487525939941, 5.30605411529541, 5.0667724609375, 4.606028079986572, 4.861793518066406]]","[[4.969099044799805, 5.300432205200195, 5.02392578125, 4.87225341796875, 5.137682914733887, 5.329636573791504, 4.976971626281738, 5.039789199829102, 4.689479351043701, 5.577766418457031, 4.925006866455078, 4.698978900909424, 5.1917033195495605, 4.938612461090088, 4.970961093902588, 4.3073320388793945, 4.767808437347412, 5.0464558601379395, 4.477741241455078, 5.137171745300293, 4.3268585205078125, 4.807730674743652, 4.719438552856445, 4.597306251525879]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1]]",Inf_Net,LungInfection,True,200.0,nsgd,True,both,3,24,2,0,calibration_split
4.693392753601074,0.5416666666666666,0.45,0.578125,17,7,15,9,24,24,"[[4.342548847198486, 5.0485076904296875, 4.517766952514648, 4.604299545288086, 4.693304061889648, 4.451735973358154, 4.722175598144531, 4.624746799468994, 5.033857345581055, 4.926269054412842, 4.352933406829834, 4.809804439544678, 4.490169525146484, 5.22910737991333, 5.013566493988037, 5.2026166915893555, 4.866909980773926, 4.908757209777832, 5.099937438964844, 4.758252143859863, 5.1109619140625, 5.038344860076904, 4.646908760070801, 4.957328796386719]]","[[5.015444278717041, 5.352564811706543, 4.990868091583252, 4.944452285766602, 4.804221153259277, 5.0854034423828125, 4.974308013916016, 5.115678787231445, 4.537215232849121, 5.276789665222168, 5.077644348144531, 4.651437759399414, 5.014437198638916, 4.9667439460754395, 4.817384243011475, 4.419681549072266, 4.806347846984863, 5.1781134605407715, 4.651988983154297, 5.09451961517334, 4.555083751678467, 4.884514808654785, 4.435977935791016, 4.646594047546387]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]]",Inf_Net,LungInfection,True,200.0,psac,True,both,3,24,1,0,calibration_split
4.615561008453369,0.5833333333333334,0.5454545454545454,0.5850694444444445,16,8,12,12,24,24,"[[4.363824844360352, 4.886144638061523, 4.303567409515381, 4.378405570983887, 4.547959804534912, 4.275143623352051, 4.899792194366455, 4.478865623474121, 4.767667770385742, 4.693809509277344, 4.131217956542969, 4.467657089233398, 4.305411338806152, 5.285297393798828, 4.94814395904541, 5.275092124938965, 4.597933769226074, 4.709979057312012, 4.789196968078613, 4.487826347351074, 5.1536760330200195, 4.926063537597656, 4.432358741760254, 4.6808953285217285]]","[[4.888403415679932, 5.212155342102051, 4.9403605461120605, 4.736216068267822, 4.792635440826416, 5.186797142028809, 5.091336250305176, 4.995501518249512, 4.347244739532471, 5.564240455627441, 4.831991195678711, 4.787292957305908, 5.112024784088135, 4.739840507507324, 4.478576183319092, 4.083116054534912, 4.6460981369018555, 4.859811305999756, 4.370370388031006, 4.80849552154541, 4.225717067718506, 4.571855545043945, 4.428515434265137, 4.453685760498047]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]]",Inf_Net,LungInfection,True,200.0,base,False,none,,24,2,0,calibration_split
